"county","population"
"Adams",497115
"Alamosa",16444
"Arapahoe",636671
"Archuleta",12908
"Baca",3563
"Bent",5809
"Boulder",321030
"Broomfield",66120
"Chaffee",19164
"Cheyenne",2039
"Clear Creek",9379
"Conejos",8142
"Costilla",3687
"Crowley",5630
"Custer",4640
"Delta",30346
"Denver",693417
"Dolores",1841
"Douglas",328614
"Eagle",54357
"El Paso",688153
"Elbert",25162
"Fremont",47002
"Garfield",58538
"Gilpin",5924
"Grand",15066
"Gunnison",16537
"Hinsdale",878
"Huerfano",6583
"Jackson",1296
"Jefferson",570427
"Kiowa",1449
"Kit Carson",7635
"La Plata",55101
"Lake",7585
"Larimer",338161
"Las Animas",14179
"Lincoln",5548
"Logan",21689
"Mesa",149998
"Mineral",823
"Moffat",13060
"Montezuma",25909
"Montrose",41268
"Morgan",28257
"Otero",18325
"Ouray",4722
"Park",17392
"Phillips",4318
"Pitkin",17909
"Prowers",12052
"Pueblo",164685
"Rio Blanco",6465
"Rio Grande",11351
"Routt",24874
"Saguache",6468
"San Juan",544
"San Miguel",7968
"Sedgwick",2350
"Summit",30429
"Teller",24113
"Washington",4840
"Weld",295123
"Yuma",10069
