"county","min_income","max_income","avg_income"
"Adams County",20833,111078,58990.7708333333
"Alamosa County",24667,46076,39283.5
"Arapahoe County",23438,250001,70836.3197278912
"Archuleta County",51364,60313,54478
"Baca County",36756,43438,40097
"Bent County",36297,36297,36297
"Boulder County",21015,156310,72070.9705882353
"Broomfield County",44700,140969,83757.4666666667
"Chaffee County",40000,55774,46827.6
"Cheyenne County",50357,50357,50357
"Clear Creek County",47313,75045,58205.3333333333
"Conejos County",31619,34009,32814
"Costilla County",21082,30987,26034.5
"Crowley County",38507,38507,38507
"Custer County",42534,42534,42534
"Delta County",34148,54055,43104.2857142857
"Denver County",9874,160694,53802.5524475525
"Dolores County",43098,43098,43098
"Douglas County",42936,153688,100046.491803279
"Eagle County",43073,101667,72500.3571428571
"El Paso County",15549,129741,59430.4418604651
"Elbert County",44188,105081,74924.1428571429
"Fremont County",32188,71051,42127.1818181818
"Garfield County",53787,82273,63015.9090909091
"Gilpin County",62286,62286,62286
"Grand County",59683,70604,63385
"Gunnison County",38794,62601,52670.75
"Hinsdale County",54844,54844,54844
"Huerfano County",25297,39469,32383
"Jackson County",45298,45298,45298
"Jefferson County",30604,160227,74036
"Kiowa County",41739,41739,41739
"Kit Carson County",42188,44474,43028.3333333333
"La Plata County",38081,67222,57696.2
"Lake County",43767,47500,45633.5
"Larimer County",18750,129922,58403.2328767123
"Las Animas County",32500,53918,41219.1666666667
"Lincoln County",39570,46495,43032.5
"Logan County",30273,55592,44378.5
"Mesa County",23011,85203,52059.9310344828
"Mineral County",52750,52750,52750
"Moffat County",43480,71339,52581.25
"Montezuma County",32750,51436,42698.2857142857
"Montrose County",36822,64566,48665.6
"Morgan County",32632,59345,46205
"Otero County",20790,46500,32968.8571428571
"Ouray County",66474,66474,66474
"Park County",46474,75052,60283.2
"Phillips County",43068,47350,45209
"Pitkin County",62957,72708,68788
"Prowers County",22746,50921,37036.8
"Pueblo County",15040,97730,43719.75
"Rio Blanco County",51710,68603,60156.5
"Rio Grande County",28667,45500,36066.3333333333
"Routt County",48682,81429,63726.375
"Saguache County",30701,35255,32978
"San Juan County",37330,37330,37330
"San Miguel County",53370,79563,63319
"Sedgwick County",38401,38401,38401
"Summit County",56654,72450,65106.6
"Teller County",31480,72500,51368.3333333333
"Washington County",40139,47639,43889
"Weld County",15897,173056,62979.6973684211
"Yuma County",43134,46875,45004.5
