"county","month_num","month","totalDeathCount"
"Elbert",1,2020-03-01,94
"Weld",1,2020-03-01,63
"Denver",1,2020-03-01,32
"Jefferson",1,2020-03-01,30
"Eagle",1,2020-03-01,19
"Denver",2,2020-04-01,2083
"Arapahoe",2,2020-04-01,1863
"Weld",2,2020-04-01,1631
"Elbert",2,2020-04-01,1338
"Jefferson",2,2020-04-01,1089
"Denver",3,2020-05-01,7784
"Arapahoe",3,2020-05-01,7118
"Jefferson",3,2020-05-01,3731
"Weld",3,2020-05-01,3679
"Adams",3,2020-05-01,2965
"Denver",4,2020-06-01,10748
"Arapahoe",4,2020-06-01,10010
"Jefferson",4,2020-06-01,5839
"Adams",4,2020-06-01,4336
"Weld",4,2020-06-01,4063
"Denver",5,2020-07-01,12259
"Arapahoe",5,2020-07-01,10920
"Jefferson",5,2020-07-01,6739
"Adams",5,2020-07-01,4995
"Weld",5,2020-07-01,4294
"Denver",6,2020-08-01,12991
"Arapahoe",6,2020-08-01,11285
"Jefferson",6,2020-08-01,7208
"Adams",6,2020-08-01,5707
"Weld",6,2020-08-01,4476
"Denver",7,2020-09-01,12934
"Arapahoe",7,2020-09-01,11081
"Jefferson",7,2020-09-01,7354
"Adams",7,2020-09-01,6435
"Elbert",7,2020-09-01,4886
"Denver",8,2020-10-01,13679
"Arapahoe",8,2020-10-01,11682
"Jefferson",8,2020-10-01,8878
"Adams",8,2020-10-01,7604
"Elbert",8,2020-10-01,5818
"Denver",9,2020-11-01,14472
"Arapahoe",9,2020-11-01,12335
"Jefferson",9,2020-11-01,11477
"Adams",9,2020-11-01,8803
"Elbert",9,2020-11-01,6947
"Denver",10,2020-12-01,18882
"Jefferson",10,2020-12-01,17193
"Arapahoe",10,2020-12-01,15535
"Elbert",10,2020-12-01,13573
"Adams",10,2020-12-01,13534
"Denver",11,2021-01-01,21963
"Jefferson",11,2021-01-01,20374
"Elbert",11,2021-01-01,20161
"Arapahoe",11,2021-01-01,18391
"Adams",11,2021-01-01,17145
"Denver",12,2021-02-01,21048
"Elbert",12,2021-02-01,20397
"Jefferson",12,2021-02-01,19569
"Arapahoe",12,2021-02-01,17830
"Adams",12,2021-02-01,16829
"Denver",13,2021-03-01,23936
"Elbert",13,2021-03-01,23304
"Jefferson",13,2021-03-01,22610
"Arapahoe",13,2021-03-01,20765
"Adams",13,2021-03-01,19385
"Denver",14,2021-04-01,23744
"Elbert",14,2021-04-01,23169
"Jefferson",14,2021-04-01,22184
"Arapahoe",14,2021-04-01,20976
"Adams",14,2021-04-01,19540
"Denver",15,2021-05-01,25281
"Elbert",15,2021-05-01,25277
"Jefferson",15,2021-05-01,23851
"Arapahoe",15,2021-05-01,22615
"Adams",15,2021-05-01,21231
"Elbert",16,2021-06-01,25726
"Denver",16,2021-06-01,25042
"Jefferson",16,2021-06-01,23834
"Arapahoe",16,2021-06-01,22595
"Adams",16,2021-06-01,21302
"Elbert",17,2021-07-01,27574
"Denver",17,2021-07-01,26281
"Jefferson",17,2021-07-01,25070
"Arapahoe",17,2021-07-01,23829
"Adams",17,2021-07-01,22458
"Elbert",18,2021-08-01,28577
"Denver",18,2021-08-01,26663
"Jefferson",18,2021-08-01,25483
"Arapahoe",18,2021-08-01,23964
"Adams",18,2021-08-01,22876
"Elbert",19,2021-09-01,29207
"Denver",19,2021-09-01,26608
"Jefferson",19,2021-09-01,25520
"Arapahoe",19,2021-09-01,23540
"Adams",19,2021-09-01,23290
"Elbert",20,2021-10-01,32958
"Denver",20,2021-10-01,28642
"Jefferson",20,2021-10-01,27689
"Arapahoe",20,2021-10-01,25678
"Adams",20,2021-10-01,25412
"Elbert",21,2021-11-01,35840
"Denver",21,2021-11-01,29319
"Jefferson",21,2021-11-01,28725
"Adams",21,2021-11-01,26588
"Arapahoe",21,2021-11-01,26483
"Elbert",22,2021-12-01,41360
"Denver",22,2021-12-01,32791
"Jefferson",22,2021-12-01,32476
"Adams",22,2021-12-01,30604
"Arapahoe",22,2021-12-01,29403
"Elbert",23,2022-01-01,42299
"Jefferson",23,2022-01-01,33233
"Denver",23,2022-01-01,32688
"Adams",23,2022-01-01,31455
"Arapahoe",23,2022-01-01,29555
